gender,age_category,married,state,number_of_referals_group,tenure,value_deal,phone_service,multiple_lines,internet_service,contract,paperless_billing,payment_method,internet_type_fill,online_security_fill,online_backup_fill,device_protection_plan_fill,premium_support_fill,streaming_tv_fill,streaming_movies_fill,streaming_music_fill,unlimited_data_fill,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,churn_status
0,3,0,11,0,0,5,1,0,1,2,1,0,2,0,0,0,0,0,1,1,0,793,52315,0,10,13447,66762,1
1,4,0,19,1,0,2,1,1,1,0,1,0,2,1,1,0,0,0,1,0,1,9455,33654,0,0,7154,40808,0
0,4,1,6,1,1,4,1,1,1,2,1,0,1,0,0,0,1,1,0,0,1,636,15565,0,0,1092,16657,1
0,2,1,15,3,2,5,1,1,1,1,1,1,2,1,0,1,0,1,1,1,1,105,75898,0,0,47376,806356,0
0,5,1,12,1,2,5,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,252,13063,0,0,15715,28778,0
1,4,1,19,3,2,5,1,0,1,2,1,1,2,0,0,0,0,1,0,0,1,8045,58345,0,0,21592,79937,1
0,2,0,16,0,2,5,1,0,1,2,1,1,0,1,0,1,1,0,1,1,1,7135,51575,0,0,34986,86561,0
0,2,1,18,0,2,3,1,1,1,2,1,1,2,0,1,1,0,0,1,1,1,956,155565,0,0,30384,185949,1
0,1,0,17,0,1,5,1,1,1,2,1,1,2,1,0,1,1,1,1,1,1,10845,49647,0,0,26865,523335,0
0,1,1,2,3,1,2,1,1,1,2,1,1,2,1,0,0,0,1,1,1,0,-8,320465,3582,110,107424,435307,1
0,2,0,15,2,2,5,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,6945,47705,0,0,13237,60942,0
1,4,1,16,2,1,1,1,1,1,0,0,0,2,1,1,1,1,1,1,1,0,11335,722275,0,20,43712,767987,0
0,3,1,17,0,2,4,1,0,0,2,0,2,2,0,0,0,0,0,0,0,1,2005,16485,0,0,33754,50239,1
0,1,0,15,1,0,5,1,1,1,0,1,0,2,1,1,1,1,1,1,1,1,115,739615,0,0,297216,1036831,0
1,0,0,21,0,1,5,1,0,1,2,0,0,2,0,1,1,0,0,1,1,1,904,26845,0,0,9444,36289,0
0,1,1,19,1,1,3,1,0,1,2,1,0,1,0,0,1,0,1,0,0,1,5965,68325,0,0,23254,91579,0
0,5,1,12,0,2,5,1,0,1,2,1,0,2,0,0,0,0,1,0,0,1,799,2609,0,0,894,26984,1
0,0,0,11,2,2,4,1,0,0,2,0,1,2,0,0,0,0,0,0,0,1,2045,15075,0,0,4088,19163,0
0,0,0,17,3,2,1,1,1,1,0,0,0,2,0,0,0,0,0,1,1,1,8555,508465,0,0,40769,549234,1
0,0,1,16,0,0,5,1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,199,199,0,0,1183,3173,0
0,4,1,7,3,0,4,1,1,1,2,1,0,2,1,0,1,0,0,0,0,1,845,45375,0,0,1844,63815,1
0,1,1,0,2,2,3,1,1,1,0,0,2,0,1,1,0,1,1,0,0,0,775,1625,1839,80,36897,205558,1
1,3,1,10,2,2,1,1,1,1,0,1,1,2,1,1,1,0,1,1,1,1,10915,655775,0,0,238773,894548,0
1,4,0,0,1,0,5,0,0,1,2,1,1,1,0,1,1,0,0,0,0,1,343,57715,0,0,0,57715,0
0,3,0,4,0,0,5,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,203,2245,0,0,23136,45586,0
0,0,0,17,1,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,8525,57142,131,0,58357,629646,0
0,1,1,2,3,2,4,1,0,1,2,1,1,2,0,1,0,0,1,0,0,0,853,42045,0,10,2287,65915,0
0,3,1,10,3,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,2035,13595,0,0,297198,433148,0
0,2,0,1,1,2,5,1,0,0,2,1,1,2,0,0,0,0,0,0,0,1,1955,1955,0,0,102,2975,0
0,2,0,6,0,2,5,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,7965,38703,0,0,42912,429942,0
1,4,0,21,1,2,5,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,391,19821,0,130,0,21121,0
1,6,0,16,2,0,5,1,1,1,2,1,1,2,0,0,1,0,0,0,0,1,781,86485,0,0,19426,105911,0
1,4,1,11,2,2,5,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,45,122865,0,0,0,122865,0
0,3,0,2,3,1,5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,8855,636235,0,0,33192,968155,0
1,0,1,0,1,1,5,1,0,0,0,1,1,2,0,0,0,0,0,0,0,1,2035,4227,0,0,47313,89583,0
1,0,0,12,1,2,3,1,1,1,2,1,1,1,0,1,0,1,0,0,0,1,586,9397,0,0,22185,116155,1
0,3,1,4,0,2,5,1,0,1,2,1,1,0,0,0,0,0,1,1,1,1,628,628,0,0,4219,10499,0
0,1,0,6,1,0,3,1,1,1,2,0,0,2,0,0,0,0,0,1,1,1,8305,17993,0,0,25212,205142,0
1,5,0,10,1,2,0,1,1,1,1,1,1,2,0,1,0,0,1,1,0,1,9965,695115,333,0,243956,938738,0
0,5,1,18,1,0,5,1,1,1,2,1,0,0,0,0,0,0,1,1,1,1,9525,123365,4809,0,4121,159766,1
0,3,1,7,0,0,5,1,1,1,2,1,0,2,0,0,0,0,0,1,1,1,8595,3813,0,0,1656,39786,1
0,3,0,7,0,2,5,1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,194,64115,0,0,3952,103635,0
0,0,0,19,2,2,5,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,2435,5385,0,0,110446,164296,0
0,2,1,9,3,1,2,1,0,1,0,1,0,2,0,1,0,1,1,0,0,1,9125,248365,0,0,38332,286697,0
1,1,0,21,1,2,5,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,81,30849,0,0,8379,39228,0
1,0,1,9,1,2,5,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,665,48116,4561,0,43848,520447,0
1,2,0,18,1,1,5,1,0,0,0,1,1,2,0,0,0,0,0,0,0,1,198,5722,0,0,133748,190968,0
1,1,0,10,1,0,5,1,1,1,0,0,1,2,0,1,0,0,0,1,1,0,9045,58255,0,100,58023,650573,0
0,3,1,7,3,1,5,1,1,0,2,0,0,2,0,0,0,0,0,0,0,1,2425,8385,0,0,32901,116751,0
0,2,1,17,2,1,1,1,0,0,1,1,1,2,0,0,0,0,0,0,0,1,205,10357,0,0,58482,162052,0
0,2,1,0,2,2,4,1,0,1,2,0,1,2,0,0,0,0,0,1,1,1,-7,8015,0,0,467,8482,1
1,0,1,0,1,2,5,1,0,1,2,1,1,1,0,0,0,0,1,0,0,1,553,553,0,0,3669,9199,0
0,3,0,6,0,1,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,198,20225,0,0,13248,33473,0
0,3,0,18,1,2,5,1,0,1,2,1,2,2,0,0,1,0,0,0,0,1,7475,2381,3884,0,375,23676,0
1,1,0,5,0,2,5,1,0,1,2,0,0,2,0,1,0,0,1,1,1,1,9565,1673,0,0,3352,20082,1
1,2,1,12,2,0,0,1,1,1,1,1,0,2,0,1,1,1,1,1,1,1,11225,804165,0,0,83952,888117,0
1,3,1,4,0,1,5,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,784,18324,0,130,75888,272128,0
0,0,0,12,0,2,5,1,1,1,1,0,0,2,0,1,1,0,1,1,1,0,1047,63338,0,150,21282,8612,0
0,0,1,17,0,0,2,1,0,1,2,1,0,2,0,1,1,0,1,1,1,1,1014,314365,0,0,60078,374443,0
0,0,1,6,0,0,3,1,0,1,2,1,0,2,0,1,1,0,0,1,1,0,9005,18629,0,30,13629,202919,0
0,5,0,7,2,1,4,1,0,1,2,1,0,2,0,0,1,0,1,1,0,1,9575,57375,0,0,2874,86115,1
1,3,0,0,0,2,5,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,625,41364,0,0,0,41364,0
1,2,1,9,0,0,5,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,381,9704,0,100,0,10704,0
0,1,1,21,2,0,5,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,8055,484705,0,0,9666,581365,0
0,1,1,1,1,0,4,1,1,1,2,1,0,0,0,0,0,1,1,1,1,1,7465,5211,2835,0,34174,83449,1
0,4,0,0,1,1,3,1,0,1,2,0,0,2,0,0,0,0,0,0,0,1,702,10465,0,0,322,13685,0
0,1,1,19,2,2,0,1,1,0,1,0,1,2,0,0,0,0,0,0,0,1,258,19115,0,0,116416,307566,0
0,3,1,0,3,2,5,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,193,14148,0,0,3294,47088,0
0,1,0,11,2,0,5,1,0,0,0,1,2,2,0,0,0,0,0,0,0,1,1935,1033,295,0,894,18975,0
0,0,1,12,3,2,5,1,1,1,2,1,0,1,1,0,0,1,1,1,1,1,792,174275,0,0,28842,203117,1
1,2,0,7,3,0,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1126,812665,0,0,12456,937225,0
0,3,0,10,1,1,5,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,251,71285,0,0,0,71285,1
0,2,0,19,1,2,5,1,1,0,1,1,0,2,0,0,0,0,0,0,0,1,25,3325,0,0,45747,78997,0
0,3,0,17,1,0,5,1,1,1,2,1,0,2,0,0,0,0,1,1,1,0,942,10461,739,120,153,131171,1
0,2,1,2,0,1,5,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1915,50135,0,0,54486,104621,0
0,0,1,18,1,2,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,448,5592,3749,90,8034,69205,0
0,0,1,0,0,1,5,1,1,1,2,1,1,2,0,1,0,0,0,0,0,1,803,3242,0,0,15496,47916,0
0,4,0,1,1,2,5,1,0,1,2,1,0,2,0,0,0,0,0,0,0,1,6935,6935,0,0,2203,9138,1
1,3,1,6,0,0,5,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,8865,532125,0,0,119438,651563,0
1,3,0,21,3,1,5,1,0,0,2,1,1,2,0,0,0,0,0,0,0,1,1995,5925,0,0,13944,19869,0
0,1,0,16,3,1,5,1,0,0,1,0,1,2,0,0,0,0,0,0,0,1,205,14249,0,0,329188,471678,0
0,2,0,17,1,1,5,1,0,0,1,1,1,2,0,0,0,0,0,0,0,1,197,49405,0,0,11112,160525,0
1,5,1,12,3,2,5,1,1,1,2,1,1,2,1,1,0,0,1,1,0,1,1028,26602,0,0,9125,35727,1
0,4,1,8,1,2,5,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,5415,23198,0,0,18918,42116,1
1,1,0,8,3,2,0,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,11005,743075,2316,0,39399,780158,0
0,0,1,17,1,2,4,1,1,1,2,0,0,2,0,0,1,0,1,1,1,1,10115,3859,0,0,3824,42414,1
0,2,1,10,0,2,0,1,1,1,0,1,1,2,0,1,1,0,1,1,1,0,10445,7459,0,130,125928,884828,0
1,1,0,6,1,1,1,1,0,1,2,1,0,2,0,1,1,0,0,0,0,1,80,316875,4174,0,15688,469581,0
0,1,0,15,1,1,5,1,1,0,1,0,1,2,0,0,0,0,0,0,0,1,254,17971,0,0,2988,20959,0
1,0,0,7,0,2,3,1,0,1,2,0,1,1,0,0,0,0,0,0,1,1,44,65935,0,0,34619,100554,0
0,1,1,12,0,0,5,0,0,1,2,1,0,0,0,0,0,1,0,0,0,1,312,9262,0,0,0,9262,0
0,1,1,16,3,2,5,1,1,0,1,0,1,2,0,0,0,0,0,0,0,1,256,13345,0,0,120224,253674,0
0,1,1,12,3,0,4,1,0,0,2,0,1,2,0,0,0,0,0,0,0,1,1985,1193,0,0,3888,15818,0
1,1,0,7,1,2,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,446,6814,0,0,22134,90274,0
0,3,0,2,3,0,3,1,0,1,2,1,0,1,1,0,0,1,0,0,0,1,542,11527,0,0,59928,175198,1
1,5,0,6,0,1,5,1,1,1,2,1,1,2,0,1,0,0,0,0,0,0,8045,522435,0,140,300894,837329,1
0,1,0,21,0,1,1,1,1,1,0,0,0,2,1,1,1,0,0,0,0,1,8975,57696,1872,0,320645,895733,1
0,3,1,11,0,1,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,196,113425,0,0,132696,246121,0
0,6,1,9,0,0,5,1,1,1,2,1,0,2,0,0,0,0,1,1,0,1,-4,16147,0,0,6511,167981,0
0,5,1,9,0,2,5,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,548,12913,0,110,20784,160914,0
0,0,0,13,0,2,1,1,0,1,0,1,0,2,1,1,1,0,0,1,1,1,961,439145,0,0,73273,512418,0
1,3,1,21,1,0,3,1,0,1,2,1,0,1,0,0,0,1,1,1,1,1,6965,9214,0,0,51814,143954,0
0,4,0,10,0,2,5,1,0,0,1,0,1,2,0,0,0,0,0,0,0,1,2005,9145,0,0,16792,25937,0
1,3,0,19,2,0,0,1,1,1,0,1,0,2,0,1,1,0,1,1,1,1,1065,7397,0,0,4151,78121,0
0,3,0,11,1,1,5,1,0,1,2,1,2,1,0,0,0,0,0,0,0,1,461,13015,0,0,798,13813,0
0,0,1,17,3,2,0,0,0,1,1,1,2,1,0,0,0,1,0,1,1,1,4005,279975,0,0,0,279975,0
0,0,0,7,1,2,4,1,0,1,2,1,1,2,0,0,0,0,1,1,1,1,884,7886,0,0,31905,110765,0
0,1,0,9,2,1,4,1,0,1,2,1,0,1,0,0,0,0,0,0,1,1,451,451,0,0,1106,5616,1
1,3,1,0,3,0,5,1,1,1,2,1,0,2,0,0,0,0,0,1,1,0,8335,275785,0,40,66957,346742,1
0,2,0,2,1,1,4,1,0,1,2,0,0,2,1,1,0,0,1,1,1,0,1002,1985,0,10,4512,25362,0
1,6,1,11,3,1,5,1,1,1,2,1,0,2,0,1,0,0,1,1,1,1,9825,5606,0,0,2841,8447,1
0,5,0,7,3,1,5,1,1,1,2,1,0,2,0,1,0,0,1,0,0,1,895,219615,0,0,4615,265765,1
0,4,0,15,0,1,3,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,197,2609,0,0,4398,7007,0
0,2,0,20,1,0,0,1,1,1,0,0,1,2,1,1,1,1,1,1,1,0,11565,796885,0,10,12019,918075,1
0,3,1,16,1,1,5,1,1,1,2,1,0,2,0,0,1,1,0,1,1,1,9505,16794,3865,0,13356,177431,0
0,1,0,11,3,2,5,1,0,1,2,0,1,0,1,1,0,0,0,0,0,1,547,23505,0,0,2708,26213,0
0,4,1,6,3,1,1,1,1,1,0,1,0,2,0,1,0,0,1,0,0,1,9025,383875,0,0,54094,437969,0
0,0,0,5,3,2,5,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1077,79198,0,0,301968,1093948,0
0,3,0,9,0,2,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,542,393745,0,0,0,393745,1
0,1,0,10,3,0,5,1,1,0,1,1,1,2,0,0,0,0,0,0,0,1,2425,173295,0,0,58291,231586,0
0,0,1,16,2,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,507,308875,0,20,0,310875,0
0,5,0,21,0,1,5,1,1,1,0,1,1,2,0,1,1,1,1,1,1,1,1081,718195,0,0,45804,763999,0
1,2,0,0,1,0,4,0,0,1,2,1,2,1,0,1,0,0,0,0,0,0,3135,3135,0,80,0,11135,1
0,6,1,11,1,2,0,1,0,1,1,1,0,2,1,1,1,1,1,0,0,1,994,716825,0,0,87046,803871,0
0,4,1,2,3,0,5,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1935,29555,0,0,6552,95075,0
0,1,1,9,2,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,497,29614,0,0,261385,557525,0
0,4,0,19,1,2,3,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,552,86455,0,80,2445,969,0
0,0,1,17,0,0,0,1,0,0,1,1,1,2,0,0,0,0,0,0,0,1,208,15212,0,0,168696,320816,0
1,3,0,7,0,2,5,1,0,1,2,1,0,2,0,0,0,1,0,0,0,1,-1,137305,1557,0,48312,18406,0
0,4,0,6,1,1,5,0,0,1,2,1,0,0,1,1,0,0,1,0,0,1,448,210455,0,0,0,210455,0
0,2,0,12,0,1,1,1,1,1,1,1,1,2,1,0,1,0,1,0,0,1,946,59487,0,0,8128,602998,0
0,2,0,21,1,2,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,842,598655,0,0,272448,871103,0
0,4,1,17,1,2,1,1,1,1,2,1,0,2,1,1,1,0,0,1,1,0,9945,56237,0,30,232578,797948,0
0,3,0,6,2,2,4,1,0,0,2,1,2,2,0,0,0,0,0,0,0,1,207,1376,0,0,21176,34936,0
1,4,0,2,0,0,5,1,0,0,1,0,1,2,0,0,0,0,0,0,0,1,2085,4675,0,0,68704,115454,0
1,5,1,2,3,2,3,1,0,1,2,0,0,2,0,0,0,0,0,1,0,1,7855,142265,0,0,8964,151229,1
1,3,0,2,1,1,5,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,564,29285,0,0,0,29285,0
1,4,1,7,0,0,5,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,3405,111395,0,0,0,111395,0
0,1,1,13,3,1,5,1,0,1,1,0,0,2,0,0,1,0,1,1,1,1,958,565545,0,0,179596,745141,0
1,5,1,19,1,1,5,1,1,1,2,1,0,0,0,1,0,0,1,1,1,1,1002,685165,0,0,145044,830209,1
1,3,0,8,3,2,5,1,0,1,2,0,0,1,0,0,0,0,0,0,0,1,453,453,0,0,3437,7967,1
1,2,1,0,2,1,3,0,0,1,2,1,0,1,0,0,1,1,0,0,0,0,352,6073,0,50,0,6573,0
0,1,1,0,0,1,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,4495,92625,0,0,81795,17442,0
0,4,0,11,1,2,5,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,593,220915,0,0,26403,247318,0
1,4,0,7,3,2,2,1,1,1,2,1,0,2,0,1,0,0,1,0,0,1,8915,227765,0,0,23634,251399,1
0,2,0,17,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,796,55158,0,0,32606,87764,0
1,3,0,12,1,2,5,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,4025,156405,0,0,0,156405,0
0,5,1,5,1,2,0,1,1,1,1,1,0,2,0,1,0,1,1,1,0,1,10445,734935,0,0,27538,1010315,0
1,4,1,11,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,549,304575,0,0,0,304575,0
0,0,0,17,3,2,4,1,0,0,2,1,1,2,0,0,0,0,0,0,0,1,2045,1623,0,0,28168,44398,0
1,1,1,1,1,0,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,463,63945,0,0,36405,10035,0
0,1,0,2,1,0,5,1,1,1,2,1,1,2,0,0,0,1,1,1,1,1,99,13017,0,0,31382,161552,1
0,2,1,17,3,0,4,1,0,1,2,1,0,2,0,0,0,0,0,1,1,1,7925,7925,0,0,1998,9923,1
1,3,1,20,2,1,5,1,0,1,2,0,0,2,0,1,0,0,1,1,1,1,954,29315,0,0,5103,34418,0
1,3,1,16,1,0,5,1,0,0,2,0,2,2,0,0,0,0,0,0,0,1,202,3822,0,0,89129,127349,0
0,3,1,0,1,2,5,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,51,22645,0,0,0,22645,0
1,0,1,15,3,1,2,1,1,1,2,1,0,2,0,0,1,0,1,1,1,0,10005,3480,0,20,78506,428506,1
1,1,1,18,3,1,5,1,1,1,2,1,0,2,0,0,0,0,0,0,0,1,755,438,0,0,12738,56538,1
1,3,0,19,1,1,0,1,1,0,1,0,1,2,0,0,0,0,0,0,0,1,2535,171515,0,0,7322,244735,0
1,3,1,19,2,0,5,1,0,1,2,1,0,2,0,0,0,0,0,0,0,1,6895,3515,0,0,9325,44475,0
0,2,1,0,3,2,4,1,0,0,2,1,0,2,0,0,0,0,0,0,0,1,1965,1965,0,0,1385,335,0
0,1,1,19,0,0,4,1,0,1,2,1,0,2,0,0,0,0,0,0,0,1,685,685,0,0,3062,9912,1
1,1,0,15,1,2,3,1,0,0,2,0,1,2,0,0,0,0,0,0,0,1,2005,26545,0,0,46752,73297,0
0,4,1,11,0,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2455,120395,3604,0,114048,230839,0
